"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"MG","49611",3148103,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","19","Patrocínio","Patrocínio","3","Sudeste"
"MG","49638",3148202,"Minas Gerais","12","Zona da Mata","63","Muriaé","Patrocínio do Muriaé","3","Sudeste"
"MG","49654",3148301,"Minas Gerais","12","Zona da Mata","62","Viçosa","Paula Cândido","3","Sudeste"
"MG","49670",3148400,"Minas Gerais","8","Vale do Rio Doce","35","Guanhães","Paulistas","3","Sudeste"
"MG","49697",3148509,"Minas Gerais","4","Vale do Mucuri","15","Teófilo Otoni","Pavão","3","Sudeste"
"MG","49719",3148608,"Minas Gerais","8","Vale do Rio Doce","36","Peçanha","Peçanha","3","Sudeste"
"MG","49735",3148707,"Minas Gerais","3","Jequitinhonha","13","Pedra Azul","Pedra Azul","3","Sudeste"
"MG","41327",3148756,"Minas Gerais","12","Zona da Mata","61","Manhuaçu","Pedra Bonita","3","Sudeste"
"MG","49751",3148806,"Minas Gerais","12","Zona da Mata","62","Viçosa","Pedra do Anta","3","Sudeste"
"MG","49778",3148905,"Minas Gerais","9","Oeste de Minas","44","Formiga","Pedra do Indaiá","3","Sudeste"
"MG","49794",3149002,"Minas Gerais","12","Zona da Mata","63","Muriaé","Pedra Dourada","3","Sudeste"
"MG","49816",3149101,"Minas Gerais","10","Sul/Sudoeste de Minas","53","Santa Rita do Sapucaí","Pedralva","3","Sudeste"
"MG","40541",3149150,"Minas Gerais","2","Norte de Minas","3","Januária","Pedras de Maria da Cruz","3","Sudeste"
"MG","49832",3149200,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","23","Araxá","Pedrinópolis","3","Sudeste"
"MG","49859",3149309,"Minas Gerais","7","Metropolitana de Belo Horizonte","30","Belo Horizonte","Pedro Leopoldo","3","Sudeste"
"MG","49875",3149408,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Pedro Teixeira","3","Sudeste"
"MG","49891",3149507,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Pequeri","3","Sudeste"
"MG","49913",3149606,"Minas Gerais","7","Metropolitana de Belo Horizonte","27","Sete Lagoas","Pequi","3","Sudeste"
